Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1967 ,Jensen,Interceptor RESTOMOD MERLIN,Used,62904,0,Gray,Gray,Automatic,RWD,Celebrity Cars Las Vegas,16,5.0,1210.0,159000,cars.com/vehicledetail/detail/792059996/overview/
1974 ,Jensen,Interceptor,Used,0,0,Beige,Brown,Other,Unknown,"Gullwing Motor Cars, Inc.",0,0.0,1436.0,49500,cars.com/vehicledetail/detail/783240136/overview/
