Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2005 ,Maybach,Type 57,Used,30506,0,Other,Other,Automatic,RWD,Earth Motorcars,375,4.5,236.0,69995,cars.com/vehicledetail/detail/795771455/overview/
2005 ,Maybach,Type 57,Used,158000,0,Blue,Gray,Automanual,Unknown,Felix (Private Seller),0,0.0,216.0,45000,cars.com/vehicledetail/detail/795492934/overview/
2012 ,Maybach,Type 62 Base,Used,12286,0,Black,Other,Automatic,RWD,Crave Luxury Auto,25,4.3,33.0,399750,cars.com/vehicledetail/detail/786243559/overview/
