Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1993 ,Am General,Hummer,Used,94302,0,White,Beige,Automatic,4x4/4-wheel,Ride N Drive,13,3.6,226.0,34988,cars.com/vehicledetail/detail/795270366/overview/
1993 ,Am General,Hummer Hard Top,Used,63000,0,Black,Black,Automatic,4x4/4-wheel,Frank (Private Seller),0,0.0,4.0,105000,cars.com/vehicledetail/detail/778028478/overview/
2000 ,Am General,Hummer,Used,47874,0,Gray,Gray,Automatic,4x4/4-wheel,Bosco Auto Group,6,3.5,247.0,0,cars.com/vehicledetail/detail/792399968/overview/
