Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
2020 ,Mercedes Benz,Mercedes-Benz A 220,New,0,37660,Red,Beige,Automatic,FWD,Mercedes-Benz of Houston North,714,4.6,26.0,37660,cars.com/vehicledetail/detail/796013242/overview/
2019 ,Mercedes Benz,Mercedes-Benz Metris Base,New,0,41444,Black,Black,Automatic,RWD,Mercedes-Benz of Houston North,714,4.6,26.0,41444,cars.com/vehicledetail/detail/756327783/overview/
2019 ,Mercedes Benz,Mercedes-Benz E 450,New,0,66900,Blue,Beige,Automatic,AWD,Mercedes-Benz of Houston North,714,4.6,26.0,66900,cars.com/vehicledetail/detail/791211250/overview/
2019 ,Mercedes Benz,Mercedes-Benz Sprinter 3500XD High Roof,New,0,51634,White,Black,Automatic,RWD,Mercedes-Benz of Houston North,714,4.6,26.0,51634,cars.com/vehicledetail/detail/779241784/overview/
2016 ,Mercedes Benz,Mercedes-Benz CLA 250,Mercedes-Benz Certified,48991,0,Gray,Black,Automatic,FWD,Mercedes-Benz of Houston North,714,4.6,26.0,18991,cars.com/vehicledetail/detail/792140430/overview/
2016 ,Mercedes Benz,Mercedes-Benz Metris Base,Used,63951,0,White,Black,Automatic,RWD,Ron Craft Chevrolet Cadillac,323,4.2,39.0,17782,cars.com/vehicledetail/detail/795204300/overview/
2015 ,Mercedes Benz,Mercedes-Benz Sprinter Normal Roof,Used,48000,0,Silver,Black,Automanual,4x2/2-wheel,Joe (Private Seller),0,0.0,52.0,31500,cars.com/vehicledetail/detail/783337736/overview/
2015 ,Mercedes Benz,Mercedes-Benz GL 550 4MATIC,Used,56489,0,Black,Black,Automatic,AWD,Kera (Private Seller),0,0.0,122.0,22000,cars.com/vehicledetail/detail/793677267/overview/
2016 ,Mercedes Benz,Mercedes-Benz Maybach S S 600,Used,12003,0,Black,Black,Automatic,RWD,Charles Maund Toyota,1907,4.8,131.0,83999,cars.com/vehicledetail/detail/796220799/overview/
2020 ,Mercedes Benz,Mercedes-Benz AMG GLC 63 S 4MATIC,New,0,94980,Gray,Other,Automatic,AWD,Mercedes-Benz of Austin,811,4.9,131.0,94980,cars.com/vehicledetail/detail/791435293/overview/
2017 ,Mercedes Benz,Mercedes-Benz AMG CLS 63 S-Model 4MATIC,Used,71307,0,Black,Brown,Automatic,AWD,"Chuck Nash Chevrolet, Buick, GMC",271,2.8,135.0,47582,cars.com/vehicledetail/detail/789152936/overview/
2018 ,Mercedes Benz,Mercedes-Benz CLA 250 Base,Used,32852,0,Silver,Black,Automatic,FWD,BMW of San Antonio,499,4.6,176.0,20964,cars.com/vehicledetail/detail/785666821/overview/
2015 ,Mercedes Benz,Mercedes-Benz G 550,Used,59164,0,Other,Other,Automatic,AWD,CarLotz San Antonio,32,5.0,176.0,67500,cars.com/vehicledetail/detail/795743901/overview/
2015 ,Mercedes Benz,Mercedes-Benz,Used,52180,0,Brown,Black,Automatic,RWD,BMW of San Antonio,499,4.6,176.0,30962,cars.com/vehicledetail/detail/786047302/overview/
2011 ,Mercedes Benz,Mercedes-Benz GLK 350,Used,99730,0,White,Black,Automatic,RWD,Dado Motors LLC,52,5.0,179.0,9995,cars.com/vehicledetail/detail/745660932/overview/
1983 ,Mercedes Benz,Mercedes-Benz 240D,Used,229892,0,Blue,Beige,Automatic,RWD,Dado Motors LLC,52,5.0,179.0,5995,cars.com/vehicledetail/detail/784907273/overview/
2016 ,Mercedes Benz,Mercedes-Benz AMG GT AMG GT S,Used,21972,0,Black,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,74444,cars.com/vehicledetail/detail/789783854/overview/
2019 ,Mercedes Benz,Mercedes-Benz CLS 450 Base,Used,6174,0,Black,Black,Automatic,RWD,Mark Motors,1,5.0,182.0,61888,cars.com/vehicledetail/detail/793469390/overview/
2019 ,Mercedes Benz,Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz Certified,7265,0,White,Brown,Automatic,AWD,Mercedes-Benz of Boerne,92,4.8,182.0,62989,cars.com/vehicledetail/detail/789117503/overview/
2017 ,Mercedes Benz,Mercedes-Benz AMG S 63 Base 4MATIC,Used,24118,0,White,Black,Automatic,AWD,Mark Motors,1,5.0,182.0,89888,cars.com/vehicledetail/detail/794361248/overview/
2019 ,Mercedes Benz,Mercedes-Benz AMG GT 63 S 4-Door,Mercedes-Benz Certified,1435,0,White,Other,Automatic,AWD,Mercedes-Benz of Boerne,92,4.8,182.0,149989,cars.com/vehicledetail/detail/792853899/overview/
2018 ,Mercedes Benz,Mercedes-Benz C 300 4MATIC,Used,8327,0,White,Brown,Automatic,AWD,Shetler-Corley Motors,0,0.0,198.0,46900,cars.com/vehicledetail/detail/772524186/overview/
2018 ,Mercedes Benz,Mercedes-Benz CLS 550 Base,Mercedes-Benz Certified,14899,0,White,Brown,Automatic,RWD,Holmes European Motors,72,4.8,219.0,55677,cars.com/vehicledetail/detail/795941104/overview/
2020 ,Mercedes Benz,Mercedes-Benz GLE 350 Base,New,0,59105,White,Other,Automatic,RWD,Holmes European Motors,72,4.8,219.0,59105,cars.com/vehicledetail/detail/793076891/overview/
2020 ,Mercedes Benz,Mercedes-Benz GLE 350 Base,New,0,61800,White,Other,Automatic,RWD,Holmes European Motors,72,4.8,219.0,61800,cars.com/vehicledetail/detail/792866705/overview/
2017 ,Mercedes Benz,Mercedes-Benz AMG C 63 Base,Used,23646,0,Black,Black,Automatic,RWD,Ride N Drive,13,3.6,226.0,41988,cars.com/vehicledetail/detail/793777962/overview/
2019 ,Mercedes Benz,Mercedes-Benz AMG GLE 43 4MATIC Coupe,Used,5356,0,White,Brown,Automatic,AWD,Clay Cooley Chevrolet,503,3.5,229.0,69997,cars.com/vehicledetail/detail/784432752/overview/
2017 ,Mercedes Benz,Mercedes-Benz Sprinter 2500 Standard Roof,Used,14699,0,White,Black,Automatic,RWD,Legend Motorcars,30,2.4,229.0,39450,cars.com/vehicledetail/detail/794696412/overview/
2014 ,Mercedes Benz,Mercedes-Benz CLA 250,Used,60500,0,White,Black,Automatic,FWD,Vehicle Warehouse,2,5.0,230.0,15990,cars.com/vehicledetail/detail/787655580/overview/
2010 ,Mercedes Benz,Mercedes-Benz R 350 4MATIC,Used,99899,0,White,Beige,Automatic,AWD,Texas Car World,62,4.5,230.0,10995,cars.com/vehicledetail/detail/795143993/overview/
2006 ,Mercedes Benz,Mercedes-Benz R 350 4MATIC,Used,147900,0,Silver,Black,Automatic,AWD,Erjon (Private Seller),0,0.0,231.0,5000,cars.com/vehicledetail/detail/791855933/overview/
2010 ,Mercedes Benz,Mercedes-Benz GLK 350 4MATIC,Used,48710,0,Gray,Black,Automatic,AWD,Top Line Auto,65,4.6,231.0,13492,cars.com/vehicledetail/detail/790863432/overview/
2008 ,Mercedes Benz,Mercedes-Benz CLK 350,Used,93428,0,Other,Other,Automatic,RWD,1and 2 Automotive,283,3.7,232.0,6288,cars.com/vehicledetail/detail/779046616/overview/
