Year,Make,Model,Condition,Mileage,MSRP,Ext_color,Int_color,Tranmission,Drivetrain,Dealer_name,Number_Review,Rating,List_Distance,Price,HTML
1999 ,Plymouth,Prowler,Used,16305,0,Black,Gray,Automatic,RWD,Nxcess Motorcars,107,2.0,10.0,26888,cars.com/vehicledetail/detail/782990702/overview/
1969 ,Plymouth,Roadrunner,Used,82,0,Orange,Black,Manual,Unknown,Bird Imports,0,0.0,182.0,49000,cars.com/vehicledetail/detail/757173458/overview/
2001 ,Plymouth,Prowler,Used,6818,0,Other,Gray,Automatic,RWD,North Freeway Hyundai,533,4.9,28.0,32988,cars.com/vehicledetail/detail/797280970/overview/
